"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","25",4.8e+07,"95",NA,"","","100","2024","W","","","South",9.5,"Public Road","Quasi-Res",60,378,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Hokima","Takenotsuka","20",3.1e+07,"70",NA,"","","80","2000","W","","","Northwest",4,"Private Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Minamihanahata","Rokucho","15",4.5e+07,"90",NA,"","","100","2015","W","","","South",7,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Minamihanahata","Rokucho","15",2.8e+07,"75",NA,"","","120","1991","S","","","",NA,"","2 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Motokinishimachi","Ogi Ohashi","15",1e+08,"345",NA,"","","210","2016","W","","","North",4,"Public Road","Quasi-Ind",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ikohoncho","Takenotsuka","15",6e+07,"215",NA,"","","145","2003","LS","","","North",9.3,"Public Road","1 Exc Med",40,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Umejima","Umejima","10",9500000,"95",NA,"","","45","1970","W","","","",NA,"","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ogi","Koya(Tokyo)","10",3.5e+07,"50",NA,"","","80","2024","W","","","",NA,"","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ogi","Ogi Ohashi","10",6.5e+07,"150",NA,"","","135","2010","LS","","","South",15.7,"Public Road","Industrial",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ogi","Koya(Tokyo)","5",4.8e+07,"70",NA,"","","110","2021","W","","","North",4.5,"Private Road","1 Res",60,180,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ogi","Ogi Ohashi","15",2.1e+07,"70",NA,"","","75","1990","W","","","",NA,"Private Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Okino","Daishimae","15",3.9e+07,"60",NA,"","","95","2018","W","","","East",4,"Public Road","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Okino","Nishi Arai","20",3.4e+07,"100",NA,"","","110","2006","W","","","West",NA,"Private Road","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Okino","Koya(Tokyo)","10",3.8e+07,"105",NA,"","","90","2020","W","","","North",3.2,"Public Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Koya(Tokyo)","10",4e+07,"55",NA,"","","95","2024","W","","","East",5.5,"Public Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Kohoku(Tokyo)","15",4.2e+07,"60",NA,"","","90","2019","W","","","East",4,"Public Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Kohoku(Tokyo)","15",3.9e+07,"55",NA,"","","90","2021","W","","","Southwest",4,"","Neighborhood Comm",80,240,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Nishiaraidaishi Nishi","10",5.6e+07,"90",NA,"","","95","2025","W","","","",NA,"Public Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sano","Kita Ayase","25",2.7e+07,"95",NA,"","","85","2006","W","","","",NA,"Public Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shinden","Oji Kamiya","20",5.3e+07,"65",NA,"","","120","2024","W","","","Southwest",7.9,"Public Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Towa","Kita Ayase","10",2.4e+07,"70",NA,"","","70","1984","W","","","East",4,"Private Road","1 Res",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Towa","Kameari","15",3.6e+07,"50",NA,"","","90","2001","W","","","South",6,"","1 Res",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiarai","Nishiaraidaishi Nishi","10",2.6e+07,"55",NA,"","","110","1992","W","","","Southwest",6,"Public Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiarai","Nishi Arai","20",5.7e+07,"80",NA,"","","125","2024","W","","","West",4,"Public Road","1 Res",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiarai","Daishimae","10",4.2e+07,"70",NA,"","","100","2014","W","","","West",4.5,"Private Road","1 Res",60,180,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Daishimae","10",4.1e+07,"70",NA,"","","100","2018","W","","","East",5,"Private Road","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",5.9e+07,"70",NA,"","","130","2025","W","","","West",5,"Private Road","1 Res",90,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",5.9e+07,"70",NA,"","","130","2024","W","","","South",6.4,"Public Road","Neighborhood Comm",100,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashiiko","Takenotsuka","20",2.7e+07,"55",NA,"","","75","2019","W","","","South",4,"Private Road","1 Exc Low",50,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashiiko","Takenotsuka","15",6.7e+07,"95",NA,"","","100","2024","W","","","West",7.4,"Public Road","1 Exc Low",70,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashiiko","Takenotsuka","15",6.4e+07,"95",NA,"","","100","2024","W","","","North",4.5,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Motoki","Nishi Arai","20",4.4e+07,"70",NA,"","","105","2024","W","","","",NA,"","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Motoki","Ogi Ohashi","25",4.1e+07,"50",NA,"","","110","2025","W","","","",NA,"","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Motokiminamimachi","Ogi Ohashi","20",6.5e+07,"100",NA,"","","135","2005","LS","","","Northwest",3.9,"Public Road","Quasi-Ind",80,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Motokiminamimachi","Ogi Ohashi","",3.9e+07,"55",NA,"","","105","2025","W","","","",NA,"","Neighborhood Comm",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Yanagihara","Kita Senju","15",4.4e+07,"55",NA,"","","70","2019","W","","","Southwest",4,"Public Road","Quasi-Ind",90,240,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Umejima","Umejima","10",3.7e+07,"35",NA,"","","65","2025","W","","","Northeast",4,"Public Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Umejima","Nishi Arai","10",2.6e+07,"45",NA,"","","70","2003","W","","","South",4,"Private Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Umejima","Nishi Arai","5",4.3e+07,"55",NA,"","","95","2015","W","","","West",4,"Private Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Ogi","Ogi Ohashi","10",1.4e+07,"45",NA,"","","45","1977","W","","","Southwest",4,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Okino","Koya(Tokyo)","10",3.9e+07,"105",NA,"","","100","2014","W","","","Northwest",4.5,"Private Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Okino","Koya(Tokyo)","10",2.5e+07,"80",NA,"","","115","1998","","","","Northwest",4,"","Quasi-Ind",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Odai","Adachi Odai","15",4.5e+07,"65",NA,"","","110","2025","W","","","South",4,"Private Road","Quasi-Ind",70,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Odai","Adachi Odai","20",6e+07,"155",NA,"","","150","1991","S","","","North",4,"Public Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Kohoku(Tokyo)","15",9.1e+07,"235",NA,"","","185","2005","W","","","Northwest",4,"Public Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Nishiaraidaishi Nishi","10",5.5e+07,"80",NA,"","","85","2025","W","","","",NA,"Public Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Nishiaraidaishi Nishi","10",5.1e+07,"70",NA,"","","100","2025","W","","","",NA,"Public Road","1 Res",70,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Kohoku","Kohoku(Tokyo)","5",5.2e+07,"70",NA,"","","100","2025","W","","","East",5,"Public Road","Quasi-Ind",70,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sano","Kita Ayase","25",3.8e+07,"50",NA,"","","85","2024","W","","","",7,"Public Road","2 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Sano","Kita Ayase","25",4.2e+07,"95",NA,"","","85","2025","W","","","South",4.5,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shinden","Oji Kamiya","15",4.4e+07,"55",NA,"","","80","2018","W","","","Southwest",4,"Public Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Shinden","Oji Kamiya","25",2.4e+07,"65",NA,"","","70","1971","W","","","Northwest",2.7,"Public Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjuasahicho","Kita Senju","5",5.5e+07,"75",NA,"","","75","1979","W","","","North",2.7,"","1 Res",90,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjuazuma","Kita Senju","10",3.4e+07,"45",NA,"","","85","1997","W","","","Northeast",2.8,"Private Road","Quasi-Ind",80,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjuazuma","Kita Senju","5",5.5e+07,"90",NA,"","","85","2003","W","","","East",1.5,"Private Road","Quasi-Ind",60,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Senjukawaracho","Senjuohashi","5",7.2e+07,"110",NA,"","","120","1988","S","","","Northeast",4.5,"Public Road","Quasi-Ind",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Takenotsuka","Takenotsuka","15",3.5e+07,"70",NA,"","","75","2004","W","","","",NA,"Private Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Takenotsuka","Takenotsuka","10",4.8e+07,"75",NA,"","","95","2025","W","","","",NA,"Public Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Towa","Kameari","20",4.7e+07,"65",NA,"","","95","2013","W","","","South",3.3,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Towa","Kita Ayase","10",3.1e+07,"50",NA,"","","80","2008","W","","","Northeast",3.9,"Private Road","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Towa","Kameari","10",3.6e+07,"50",NA,"","","90","2004","W","","","East",6,"Public Road","1 Res",70,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiarai","Nishiaraidaishi Nishi","5",5.6e+07,"135",NA,"","","160","2000","S","","","East",8.7,"Public Road","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",5.1e+07,"75",NA,"","","110","2025","W","","","East",5,"Private Road","1 Res",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",6e+07,"70",NA,"","","115","2025","W","","","South",6.5,"Public Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",5.9e+07,"70",NA,"","","100","2024","W","","","South",5,"Private Road","1 Res",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",5.8e+07,"70",NA,"","","110","2025","W","","","West",5,"Private Road","Neighborhood Comm",90,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",5.9e+07,"70",NA,"","","125","2025","W","","","South",6.4,"Public Road","Neighborhood Comm",90,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","10",4.2e+07,"95",NA,"","","95","2017","W","","","North",NA,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Kohoku(Tokyo)","15",4.9e+07,"70",NA,"","","105","2025","W","","","Northeast",4,"Public Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Daishimae","20",3e+06,"30",NA,"","","35","1966","W","","","",NA,"","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Nishiaraihoncho","Nishi Arai","20",5e+07,"70",NA,"","","120","2025","W","","","",NA,"Private Road","1 Res",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashiiko","Takenotsuka","20",5.3e+07,"90",NA,"","","95","2025","W","","","",NA,"","1 Exc Low",50,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13121,"Tokyo","Adachi Ward","Higashiiko","Takenotsuka","25",5.1e+07,"85",NA,"","","110","2025","W","","","",NA,"","1 Exc Med",50,150,"2nd quarter 2025",""
